Date,New Testament (Morning Devotion), Old Testament (Evening Devotion)
06-23,"Acts 7,1-21","Esther 9,10"
06-24,"Acts 7,22-43","Job 1,2"
06-25,"Acts 7,44-60","Job 3,4"
06-26,"Acts 8,1-25","Job 5,6,7"
06-27,"Acts 8,26-40","Job 8,9,10"
06-28,"Acts 9,1-21","Job 11,12,13"
06-29,"Acts 9,22-43","Job 14,15,16"
06-30,"Acts 10,1-23","Job 17,18,19"
07-01,"Acts 10,24-48","Job 20,21"
07-02,Acts 11,"Job 22,23,24"
07-03,Acts 12,"Job 25,26,27"
07-04,"Acts 13,1-25","Job 28,29"
07-05,"Acts 13,26-52","Job 30,31"
07-06,Acts 14,"Job 32,33"
07-07,"Acts 15,1-21","Job 34,35"
07-08,"Acts 15,22-41","Job 36,37"
07-09,"Acts 16,1-21","Job 38,39,40"
07-10,"Acts 16,22-40","Job 41,42"
07-11,"Acts 17,1-15","Psalms 1,2,3"
07-12,"Acts 17,16-34","Psalms 4,5,6"
07-13,Acts 18,"Psalms 7,8,9"
07-14,"Acts 19,1-20","Psalms 10,11,12"
07-15,"Acts 19,21-41","Psalms 13,14,15"
07-16,"Acts 20,1-16","Psalms 16,17"
07-17,"Acts 20,17-38","Psalms 18,19"
07-18,"Acts 21,1-17","Psalms 20,21,22"
07-19,"Acts 21,18-40","Psalms 23,24,25"
07-20,Acts 22,"Psalms 26,27,28"
07-21,"Acts 23,1-15","Psalms 29,30"
07-22,"Acts 23,16-35","Psalms 31,32"
07-23,Acts 24,"Psalms 33,34"
07-24,Acts 25,"Psalms 35,36"
07-25,Acts 26,"Psalms 37,38,39"
07-26,"Acts 27,1-26","Psalms 40,41,42"
07-27,"Acts 27,27-44","Psalms 43,44,45"
07-28,Acts 28,"Psalms 46,47,48"
07-29,Romans 1,"Psalms 49,50"
07-30,Romans 2,"Psalms 51,52,53"
07-31,Romans 3,"Psalms 54,55,56"
08-01,Romans 4,"Psalms 57,58,59"
08-02,Romans 5,"Psalms 60,61,62"
08-03,Romans 6,"Psalms 63,64,65"
08-04,Romans 7,"Psalms 66,67"
08-05,Romans 8:1-21,"Psalms 68,69"
08-06,Romans 8:22-39,"Psalms 70,71"
08-07,Romans 9:1-15,"Psalms 72,73"
08-08,Romans 9:16-33,"Psalms 74,75,76"
08-09,Romans 10,"Psalms 77,78"
08-10,Romans 11:1-18,"Psalms 79,80"
08-11,Romans 11:19-36,"Psalms 81,82,83"
08-12,Romans 12,"Psalms 84,85,86"
08-13,Romans 13,"Psalms 87,88"
08-14,Romans 14,"Psalm 89,90"
08-15,Romans 15:1-13,"Psalm 91,92,93"
08-16,Romans 15:14-33,"Psalm 94,95,96"
08-17,Romans 16,"Psalm 97,98,99"
08-18,1Kor 1,"Psalm 100,101,102"
08-19,1Kor 2,"Psalm 103,104"
08-20,1Kor 3,"Psalm 105,106"
08-21,1Kor 4,"Psalm 107,108,109"
08-22,1Kor 5,"Psalm 110,111,112"
08-23,1Kor 6,"Psalm 113,114,115"
08-24,1Kor 7:1-19,"Psalm 116,117,118"
08-25,1Kor 7:20-40,Psalm 119:1-88
08-26,1Kor 8,Psalm 119:89-176
08-27,1Kor 9,"Psalm 120,121,122"
08-28,1Kor 10:1-18,"Psalm 123,124,125"
08-29,1Kor 10:19-33,"Psalm 126,127,128"
08-30,1Kor 11:1-16,"Psalm 129,130,131"
08-31,1Kor 11:17-34,"Psalm 132,133,134"
09-01,1Kor12,"Psalm 135,136"
09-02,1Kor13,"Psalm 137,138,139"
09-03,1Kor14:1-20,"Psalm 140,141,142"
09-04,1Kor14:21-29,"Psalm 143,144,145"
09-05,1Kor15:1-28,"Psalm 146,147"
09-06,1Kor15:29-58,"Psalm 148,149,150"
09-07,1Kor 16,"Spr 1,2"
09-08,2Kor 1,"Spr 3,4,5"
09-09,2Kor 2,"Spr 6,7"
09-10,2Kor 3,"Spr 8,9"
09-11,2Kor 4,"Spr 10,11,12"
09-12,2Kor 5,"Spr 13,14,15"
09-13,2Kor 6,"Spr 16,17,18"
09-14,2Kor 7,"Spr 19,20,21"
09-15,2Kor 8,"Spr 22,23,24"
09-16,2Kor 9,"Spr 25,26"
09-17,2Kor 10,"Spr 27,28,29"
09-18,2Kor 11:1-15,"Spr 30,31"
09-19,2Kor 11:16-33,"Pred 1,2,3"
09-20,2Kor 12,"Pred 4,5,6"
09-21,2Kor 13,"Pred 7,8,9"
09-22,Gal 1,"Pred 10,11,12"
09-23,Gal 2,"Hl 1,2,3"
09-24,Gal 3,"Hl 4,5"
09-25,Gal 4,"Hl 6,7,8"
09-26,Gal 5,"Jes 1,2"
09-27,Gal 6,"Jes 3,4"
09-28,Eph 1,"Jes 5,6"
09-29,Eph 2,"Jes 7,8"
09-30,Eph 3,"Jes 9,10"
10-01,Eph 4,"Jes 11,12,13"
10-02,"Eph 5,1-16","Jes 14,15,16"
10-03,"Eph 5,17-33","Jes 17,18,19"
10-04,"Eph 6","Jes 20,21,22"
10-05,"Phil 1","Jes 23,24,25"
10-06,"Phil 2","Jes 26,27"
10-07,"Phil 3","Jes 28,29"
10-08,"Phil 4","Jes 30,31"
10-09,"Kol 1","Jes 32,33"
10-10,"Kol 2","Jes 34,35,36"
10-11,"Kol 3","Jes 37,38"
10-12,"Kol 4","Jes 39,40"
10-13,"1Th 1","Jes 41,42"
10-14,"1Th 2","Jes 43,44"
10-15,"1Th 3","Jes 45,46"
10-16,"1Th 4","Jes 47,48,49"
10-17,"1Th 5","Jes 50,51,52"
10-18,"2Th 1","Jes 53,54,55"
10-19,"2Th 2","Jes 56,57,58"
10-20,"2Th 3","Jes 59,60,61"
10-21,"1Tim 1","Jes 62,63,64"
10-22,"1Tim 2","Jes 65,66"
10-23,"1Tim 3","Jer 1,2"
10-24,"1Tim 4","Jer 3,4,5"
10-25,"1Tim 5","Jer 6,7,8"
10-26,"1Tim 6","Jer 9,10,11"
10-27,"2Tim 1","Jer 12,13,14"
10-28,"2Tim 2","Jer 15,16,17"
10-29,"2Tim 3","Jer 18,19"
10-30,"2Tim 4","Jer 20,21"
10-31,"Tit 1","Jer 22,23"
11-01,"Tit 2","Jer 24,25,26"
11-02,"Tit 3","Jer 27,28,29"
11-03,"Phil","Jer 30,31"
11-04,"Hebr 1","Jer 32,33"
11-05,"Hebr 2","Jer 34,35,36"
11-06,"Hebr 3","Jer 37,38,39"
11-07,"Hebr 4","Jer 40,41,42"
11-08,"Hebr 5","Jer 43,44,45"
11-09,"Hebr 6","Jer 46,47"
11-10,"Hebr 7","Jer 48,49"
11-11,"Hebr 8","Jer 50"
11-12,"Hebr 9","Jer 51,52"
11-13,"Hebr 10,1-19","Kla 1,2"
11-14,"Hebr 10,19-39","Kla 3,4,5"
11-15,"Hebr 11,1-19","Hes 1,2"
11-16,"Hebr 11,20-40","Hes 3,4"
11-17,"Hebr 12","Hes 5,6,7"
11-18,"Hebr 13","Hes 8,9,10"
11-19,"Jak 1","Hes 11,12,13"
11-20,"Jak 2","Hes 14,15"
11-21,"Jak 3","Hes 16,17"
11-22,"Jak 4","Hes 18,19"
11-23,"Jak 5","Hes 20,21"
11-24,"1Petr 1","Hes 22,23"
11-25,"1Petr 2","Hes 24,25,26"
11-26,"1Petr 3","Hes 27,28,29"
11-27,"1Petr 4","Hes 30,31,32"
11-28,"1Petr 5","Hes 33,34"
11-29,"2Petr 1","Hes 35,36"
11-30,"2Petr 2","Hes 37,38,39"
